domain_id,domain_name,micro_credential_id,micro_credential_title,total_competencies,launch_ready,missing_locked_rubric_count,missing_locked_rubrics
1,AI & Automaiton,1,AI Prompt Engineer,10,yes,0,
1,AI & Automaiton,2,AI Project Manager,10,no,10,Define AI scope; Translate business needs; Manage AI risks; Timeline planning; Stakeholder coordination; Cost estimation; Model selection; Deployment planning; Performance tracking; Ethical compliance
1,AI & Automaiton,3,Generative AI Practitioner,10,no,10,Content generation control; Model fine-tuning basics; Data prompting strategies; Quality filtering; Bias detection; Use multimodal tools; Automation workflows; IP risk awareness; Output evaluation; Human-AI collaboration
1,AI & Automaiton,4,Responsible AI Practitioner,10,no,10,Bias identification; Fairness evaluation; Risk documentation; Transparency design; Explainability methods; Regulatory alignment; Consent management; Model auditing; Ethical reporting; Governance frameworks
1,AI & Automaiton,5,AI Workflow Automation Specialist,10,no,10,Process mapping; API orchestration; Trigger-based logic; Error handling; Data pipelines; Tool integration; Version control; Automation testing; Monitoring systems; Performance optimization
1,AI & Automaiton,6,Conversational AI Designer,10,no,10,Dialogue flow design; Intent mapping; Entity recognition; UX writing; Error recovery flows; Training datasets; Multilingual support; Sentiment handling; Conversation testing; Bot performance tuning
1,AI & Automaiton,7,AI Decision Support Analyst,10,no,10,Decision modeling; Scenario simulation; Data sourcing; Model validation; Confidence scoring; Visualization; Risk interpretation; Bias detection; Stakeholder explanation; Continuous learning loops
1,AI & Automaiton,8,AI Content Strategist,10,no,10,Audience analysis; AI editorial planning; Prompt strategy; Content QA; SEO alignment; Brand voice control; Workflow design; Compliance checks; Performance analytics; Automation pipelines
1,AI & Automaiton,9,AI Knowledge Management Specialist,10,no,10,Knowledge structuring; Vector databases; Retrieval optimization; Data cleaning; Taxonomy building; Search tuning; Governance rules; Security design; Documentation standards; Continuous updating
1,AI & Automaiton,10,AI Productivity Architect,10,no,10,Task automation; Tool selection; Workflow optimization; Productivity metrics; User training; System integration; Change management; ROI analysis; Adoption strategy; Performance scaling
1,AI & Automaiton,11,Applied AI Research Professional,10,no,10,Research framing; Experiment design; Dataset evaluation; Statistical validation; Model benchmarking; Documentation; Peer review literacy; Ethical compliance; Reproducibility; Publication readiness
1,AI & Automaiton,12,AI Quality & Validation Specialist,10,no,10,Test dataset design; Error classification; Performance metrics; Regression testing; Drift detection; Bias testing; Audit reporting; QA automation; Tool validation; Compliance verification
1,AI & Automaiton,13,AI Policy & Governance Analyst,10,no,10,Regulatory research; Policy drafting; Risk classification; Compliance mapping; Stakeholder advisory; Ethics frameworks; Governance structures; Audit preparation; Legal coordination; Reporting systems
1,AI & Automaiton,14,AI Adoption Lead,10,no,10,Organizational readiness; Change strategy; Training design; Resistance management; KPI definition; Stakeholder alignment; Pilot execution; Scaling roadmap; Value tracking; Culture building
1,AI & Automaiton,15,AI Ethics Officer,10,no,10,Ethical risk analysis; Bias audits; Consent governance; Transparency standards; Compliance reporting; Incident handling; Policy development; Staff training; Public accountability; Continuous monitoring
2,Data & Analytics,16,Business Data Analyst,10,no,10,Data cleaning; SQL querying; KPI modeling; Dashboard creation; Trend analysis; Stakeholder reporting; Insight framing; Forecast interpretation; Data validation; Decision support
2,Data & Analytics,17,Data Literacy Professional,10,no,10,Data interpretation; Chart reading; Statistical basics; Bias awareness; Question framing; Tool navigation; Data storytelling; Data ethics; Business relevance; Critical evaluation
2,Data & Analytics,18,Data Visualization Specialist,10,no,10,Chart design; Tool mastery; Story framing; Color theory; Audience targeting; Interactivity; Dashboard UX; Data accuracy; Performance optimization; Accessibility design
2,Data & Analytics,19,Predictive Analytics Practitioner,10,no,10,Model selection; Feature engineering; Validation testing; Forecast evaluation; Bias detection; Scenario planning; Tool deployment; Business translation; Risk estimation; Monitoring drift
2,Data & Analytics,20,Data Governance Officer,10,no,10,Data policy design; Quality standards; Ownership mapping; Privacy compliance; Metadata systems; Audit trails; Risk classification; Access control; Lifecycle management; Compliance reporting
2,Data & Analytics,21,Data Quality Manager,10,no,10,Quality metrics; Root-cause analysis; Validation frameworks; Data cleansing rules; Automation tools; Governance coordination; Error reporting; Monitoring dashboards; Training programs; Continuous improvement
2,Data & Analytics,22,Workforce Analytics Specialist,10,no,10,HR data modeling; Attrition forecasting; Productivity metrics; Skills mapping; Talent insights; Diversity analysis; Cost modeling; Dashboard reporting; Ethics compliance; Strategic advisory
2,Data & Analytics,23,Customer Insights Analyst,10,no,10,Survey design; Behavioral analysis; Segmentation; Journey mapping; Sentiment analytics; Insight reporting; Persona development; Data triangulation; Business translation; Decision support
2,Data & Analytics,24,Experimentation & A/B Testing Specialist,10,no,10,Hypothesis creation; Test design; Sample sizing; Bias control; Statistical testing; Result interpretation; Tool configuration; Documentation; Stakeholder reporting; Continuous optimization
2,Data & Analytics,25,AI-Assisted Analytics Professional,10,no,10,AI data querying; Insight automation; Model validation; Tool orchestration; Data ethics; Visualization; Business translation; Bias checks; Workflow automation; Performance tuning
2,Data & Analytics,26,Data Privacy & Ethics Officer,10,no,10,Privacy law mapping; Consent design; Risk assessment; Data minimization; Breach protocols; Vendor audits; Staff training; Compliance reporting; Ethics frameworks; Continuous review
2,Data & Analytics,27,Applied Statistics Practitioner,10,no,10,Probability modeling; Hypothesis testing; Regression analysis; Sampling design; Bias detection; Tool usage; Result interpretation; Documentation; Quality control; Decision support
2,Data & Analytics,28,Insight Reporting Specialist,10,no,10,Executive summaries; Visualization design; Data synthesis; Narrative framing; Accuracy checks; Stakeholder alignment; KPI translation; Formatting standards; Automation tools; Feedback integration
2,Data & Analytics,29,Evidence-Based Decision Analyst,10,no,10,Research evaluation; Data triangulation; Risk weighting; Bias awareness; Scenario modeling; Recommendation framing; Documentation; Stakeholder briefing; Impact measurement; Continuous refinement
2,Data & Analytics,30,Data Storytelling Designer,10,no,10,Narrative structure; Visual alignment; Audience targeting; Insight framing; Emotional resonance; Tool mastery; Accuracy validation; Presentation design; Feedback iteration; Ethical storytelling
3,Strategy & Leadership,31,Strategic Thinking Practitioner,10,no,10,Environmental scanning; Competitive analysis; Long-term scenario planning; Systems mapping; Strategic prioritization; Risk–opportunity evaluation; Assumption testing; Strategic communication; Decision framing; Strategy review & adaptation
3,Strategy & Leadership,32,Business Model Innovation Strategist,10,no,10,Value proposition design; Revenue model creation; Cost structure analysis; Market validation; Customer discovery; Prototype testing; Competitive differentiation; Scaling strategies; Risk assessment; Business model documentation
3,Strategy & Leadership,33,Organizational Change Manager,10,no,10,Change impact analysis; Stakeholder mapping; Resistance management; Communication planning; Training rollout; Change metrics tracking; Leadership alignment; Culture integration; Risk mitigation; Sustainability planning
3,Strategy & Leadership,34,Stakeholder Engagement Lead,10,no,10,Stakeholder identification; Expectation management; Relationship building; Negotiation skills; Conflict resolution; Communication strategy; Feedback systems; Trust building; Influence mapping; Engagement reporting
3,Strategy & Leadership,35,Decision-Making Under Uncertainty Specialist,10,no,10,Probability reasoning; Scenario modeling; Risk weighting; Bias detection; Data triangulation; Stress testing; Trade-off analysis; Decision documentation; Recommendation presentation; Outcome evaluation
3,Strategy & Leadership,36,Performance Management Professional,10,no,10,KPI design; Performance measurement systems; Feedback mechanisms; Coaching integration; Incentive alignment; Data analysis; Reporting frameworks; Continuous improvement planning; Fairness assessment; Performance audits
3,Strategy & Leadership,37,Professional Ethics Officer,10,no,10,Ethics policy development; Compliance monitoring; Incident investigation; Risk identification; Whistleblower systems; Ethics training; Reporting procedures; Governance alignment; Case documentation; Continuous ethics review
3,Strategy & Leadership,38,Leadership Communication Coach,10,no,10,Executive messaging; Storytelling methods; Persuasion techniques; Active listening analysis; Conflict dialogue coaching; Presentation skills; Feedback delivery; Cultural sensitivity; Crisis communication; Communication evaluation
3,Strategy & Leadership,39,Systems Thinking Practitioner,10,no,10,System mapping; Causal loop modeling; Feedback analysis; Complexity management; Leverage point identification; Scenario testing; Cross-functional integration; Sustainability modeling; Risk interaction analysis; Visual systems documentation
3,Strategy & Leadership,40,Innovation Program Manager,10,no,10,Innovation portfolio design; Idea evaluation frameworks; Funding allocation; Pilot execution; Performance tracking; Stakeholder coordination; Risk management; Scaling strategies; Governance compliance; Innovation reporting
3,Strategy & Leadership,41,Value Proposition Strategist,10,no,10,Customer research; Pain-point analysis; Benefit modeling; Differentiation strategy; Testing frameworks; Messaging design; Pricing logic; Market positioning; Iterative refinement; Validation reporting
3,Strategy & Leadership,42,Corporate Strategy Analyst,10,no,10,Market trend analysis; Competitor benchmarking; Financial forecasting; Growth scenario modeling; M&A screening; Risk modeling; Strategic reporting; Executive briefing; KPI tracking; Strategy review
3,Strategy & Leadership,43,Business Agility Lead,10,no,10,Agile framework design; Delivery metrics tracking; Organizational restructuring; Stakeholder coaching; Change facilitation; Risk mitigation; Workflow optimization; Culture transformation; Tool integration; Scaling agility
3,Strategy & Leadership,44,Enterprise Risk Professional,10,no,10,Risk taxonomy creation; Risk assessment modeling; Mitigation planning; Compliance mapping; Incident response; Scenario testing; Risk reporting; Audit coordination; Board communication; Continuous monitoring
3,Strategy & Leadership,45,Governance & Oversight Officer,10,no,10,Governance framework design; Policy drafting; Compliance audits; Risk oversight; Board reporting; Ethics integration; Regulatory mapping; Transparency systems; Documentation control; Governance monitoring
4,Project & Operations,46,AI-Enabled Project Manager,10,no,10,Project scoping; AI tool selection; Timeline management; Budget forecasting; Risk tracking; Stakeholder coordination; Quality control; Performance metrics; Deployment planning; Project reporting
4,Project & Operations,47,Agile Delivery Practitioner,10,no,10,Sprint planning; Backlog management; Agile ceremonies facilitation; Velocity tracking; Stakeholder communication; Continuous improvement; Risk handling; Tool utilization; Delivery metrics; Retrospective analysis
4,Project & Operations,48,Scrum Practice Lead,10,no,10,Scrum framework mastery; Team coaching; Sprint facilitation; Impediment resolution; Metrics tracking; Stakeholder alignment; Continuous improvement; Agile training; Performance review; Process documentation
4,Project & Operations,49,Kanban & Flow Specialist,10,no,10,Workflow visualization; Bottleneck analysis; WIP optimization; Throughput tracking; Cycle time reduction; Demand forecasting; Continuous delivery design; Performance reporting; Tool configuration; Process auditing
4,Project & Operations,50,Product Discovery Specialist,10,no,10,User research; Problem framing; Hypothesis testing; Prototyping; Usability testing; Feedback synthesis; Feature prioritization; Market validation; Stakeholder alignment; Documentation
4,Project & Operations,51,Product Requirements Analyst,10,no,10,Requirements gathering; Stakeholder interviews; Use-case modeling; Acceptance criteria definition; Scope control; Documentation standards; Validation testing; Change management; Traceability mapping; Requirement audits
4,Project & Operations,52,Operational Risk Officer,10,no,10,Risk identification; Process mapping; Impact analysis; Control design; Monitoring systems; Incident reporting; Compliance alignment; Risk mitigation planning; Documentation; Continuous improvement
4,Project & Operations,53,Process Improvement Specialist,10,no,10,Process analysis; Bottleneck detection; Root-cause analysis; Automation design; KPI optimization; Workflow redesign; Cost reduction strategies; Quality control; Change implementation; Process documentation
4,Project & Operations,54,Lean Operations Practitioner,10,no,10,Waste identification; Value stream mapping; Kaizen facilitation; Continuous improvement cycles; Performance metrics; Standard work design; Cost efficiency modeling; Team training; Quality optimization; Lean audits
4,Project & Operations,55,Service Operations Manager,10,no,10,Service workflow design; Demand forecasting; Capacity planning; Quality assurance; Customer experience management; Staff scheduling; Cost control; Performance reporting; Risk management; Service improvement planning
4,Project & Operations,56,Portfolio Prioritization Analyst,10,no,10,Investment analysis; Risk–return modeling; Resource allocation; Scenario evaluation; Dependency mapping; Stakeholder input analysis; Ranking frameworks; Financial modeling; Portfolio reporting; Review cycles
4,Project & Operations,57,Digital Operations Lead,10,no,10,Process digitization; Automation planning; Tool integration; Data workflow design; Performance monitoring; Cyber risk awareness; Cost optimization; Change management; Documentation; Continuous scaling
4,Project & Operations,58,Business Continuity Planner,10,no,10,Risk assessment; Impact analysis; Recovery planning; Crisis simulation; Communication protocols; Resource backup strategies; Compliance documentation; Testing procedures; Staff training; Plan updating
4,Project & Operations,59,Delivery Excellence Manager,10,no,10,Delivery standards design; Performance benchmarking; Quality metrics; Stakeholder coordination; Risk control; Continuous improvement systems; Automation usage; Reporting frameworks; Team coaching; Process audits
4,Project & Operations,60,Operational Metrics Analyst,10,no,10,KPI modeling; Data collection systems; Dashboard creation; Trend analysis; Root-cause analytics; Forecasting; Reporting design; Stakeholder interpretation; Automation setup; Data validation
5,Technology,61,Digital Transformation Specialist,10,no,10,Digital maturity assessment; Roadmap creation; Technology selection; Change management; Stakeholder alignment; Risk evaluation; KPI definition; Automation strategy; Governance integration; Transformation reporting
5,Technology,62,Cloud Literacy Professional,10,no,10,Cloud service models; Cost management; Security fundamentals; Architecture basics; Vendor evaluation; Deployment concepts; Data protection; Compliance awareness; Performance optimization; Documentation
5,Technology,63,API Integration Specialist,10,no,10,API design principles; Authentication methods; Data mapping; Error handling; Testing frameworks; Performance tuning; Security practices; Documentation standards; Version control; Integration monitoring
5,Technology,64,Technology Adoption Manager,10,no,10,Adoption planning; User training design; Change communication; Resistance management; KPI tracking; Stakeholder alignment; Tool evaluation; Risk mitigation; Feedback analysis; Continuous improvement
5,Technology,65,Cybersecurity Awareness Professional,10,no,10,Threat identification; Phishing detection; Password security; Data protection practices; Incident reporting; Safe browsing habits; Device security; Compliance awareness; Risk communication; Security training facilitation
5,Technology,66,Digital Resilience Officer,10,no,10,Infrastructure risk analysis; Incident response planning; Backup strategy design; Recovery testing; System monitoring; Cyber resilience planning; Compliance alignment; Staff training; Documentation; Continuous improvement
5,Technology,67,IT Governance Specialist,10,no,10,Governance frameworks; Policy development; Compliance audits; Risk management; Vendor evaluation; Performance metrics; Reporting systems; Stakeholder communication; Documentation standards; Continuous governance review
5,Technology,68,No-Code Automation Builder,10,no,10,Workflow design; Tool configuration; Logic modeling; Error handling; Integration setup; Testing procedures; Performance monitoring; Documentation; User training; Automation optimization
5,Technology,69,Digital Systems Architect,10,no,10,System requirements analysis; Architecture design; Integration planning; Security modeling; Performance tuning; Scalability design; Risk assessment; Documentation standards; Vendor coordination; Architecture audits
5,Technology,70,Blockchain Use-Case Analyst,10,no,10,Blockchain fundamentals; Use-case identification; Feasibility analysis; Risk assessment; Regulatory awareness; Cost–benefit modeling; Architecture basics; Stakeholder communication; Documentation; Implementation roadmap
6,Marketing & Growth,71,Digital Marketing & Growth Strategist,10,no,10,Audience segmentation; Channel strategy design; Campaign planning; Budget optimization; KPI tracking; Conversion analysis; Content alignment; Automation tools; Compliance awareness; Performance reporting
6,Marketing & Growth,72,AI-Assisted Content Marketer,10,no,10,Prompt engineering; Content planning; SEO integration; Quality filtering; Brand voice control; Workflow automation; Performance analytics; Compliance checks; Multichannel publishing; Optimization cycles
6,Marketing & Growth,73,SEO & Web Analytics Specialist,10,no,10,Keyword research; Technical SEO auditing; On-page optimization; Link analysis; Traffic analysis; Conversion tracking; Dashboard reporting; Algorithm monitoring; Tool mastery; Continuous optimization
6,Marketing & Growth,74,Customer Journey Designer,10,no,10,Journey mapping; Persona development; Touchpoint analysis; Pain-point identification; Experience design; UX testing; Data integration; Stakeholder collaboration; Journey optimization; Documentation
6,Marketing & Growth,75,Growth Strategy Manager,10,no,10,Market opportunity analysis; Funnel modeling; Experimentation planning; KPI definition; Scaling frameworks; Revenue optimization; Customer acquisition strategies; Data interpretation; Risk management; Growth reporting
6,Marketing & Growth,76,CRM Effectiveness Analyst,10,no,10,CRM configuration analysis; Data quality assessment; Customer segmentation; Automation workflows; Reporting dashboards; Adoption monitoring; Process optimization; Compliance alignment; Performance metrics; Continuous improvement
6,Marketing & Growth,77,Brand Strategy Professional,10,no,10,Brand positioning; Market perception analysis; Messaging frameworks; Visual identity alignment; Competitive differentiation; Campaign consistency; Reputation management; Brand metrics tracking; Stakeholder coordination; Strategy documentation
6,Marketing & Growth,78,Social Media Strategy Lead,10,no,10,Platform analysis; Content planning; Engagement metrics; Community management; Campaign execution; Crisis handling; Brand alignment; Automation tools; Performance reporting; Optimization cycles
6,Marketing & Growth,79,Conversion Optimization Specialist,10,no,10,Funnel analysis; A/B testing; User behavior tracking; UX evaluation; Hypothesis development; Data interpretation; Tool configuration; Reporting frameworks; Optimization planning; Documentation
6,Marketing & Growth,80,Market Intelligence Analyst,10,no,10,Market research design; Competitor tracking; Trend forecasting; Data synthesis; Risk analysis; Insight reporting; Stakeholder briefing; Tool utilization; Scenario modeling; Continuous monitoring
7,HR & People Development,81,Talent Acquisition Specialist,10,no,10,Workforce planning; Candidate sourcing; Interview design; Assessment frameworks; Employer branding; Compliance awareness; Data tracking; Offer negotiation; Onboarding coordination; Recruitment reporting
7,HR & People Development,82,Workforce Planning Analyst,10,no,10,Demand forecasting; Skills gap analysis; Scenario modeling; Cost estimation; Capacity planning; Data visualization; Stakeholder communication; Risk evaluation; Workforce metrics; Reporting
7,HR & People Development,83,Learning Design Professional,10,no,10,Learning needs analysis; Curriculum design; Instructional modeling; Assessment planning; Digital learning tools; Engagement strategies; Evaluation metrics; Iterative improvement; Documentation; Program reporting
7,HR & People Development,84,Instructional Design with AI,10,no,10,AI content generation; Learning pathway design; Adaptive assessment modeling; Engagement analytics; Prompt design; Content QA; Tool integration; Compliance standards; Optimization cycles; Documentation
7,HR & People Development,85,Performance Coaching Practitioner,10,no,10,Goal setting frameworks; Behavioral analysis; Feedback techniques; Motivation strategies; Progress tracking; Ethics awareness; Coaching documentation; Outcome measurement; Client engagement; Continuous development
7,HR & People Development,86,Competency Framework Designer,10,no,10,Skill taxonomy creation; Level definition; Assessment criteria design; Validation testing; Stakeholder alignment; Tool integration; Documentation standards; Governance alignment; Performance linkage; Framework audits
7,HR & People Development,87,Employee Engagement Lead,10,no,10,Engagement surveys; Culture assessment; Program design; Communication strategies; Feedback systems; Data analysis; Leadership alignment; Improvement planning; Reporting; Continuous evaluation
7,HR & People Development,88,Remote Team Management Professional,10,no,10,Virtual communication systems; Performance tracking; Motivation strategies; Collaboration tools; Conflict resolution; Cultural sensitivity; Workload management; Compliance awareness; Reporting; Team development
7,HR & People Development,89,People Analytics Specialist,10,no,10,HR data modeling; Predictive analytics; Dashboard creation; Workforce insights; Ethics compliance; Bias detection; Reporting frameworks; Tool mastery; Decision support; Continuous improvement
7,HR & People Development,90,Organizational Culture Strategist,10,no,10,Culture diagnostics; Value mapping; Behavior modeling; Leadership alignment; Change facilitation; Communication planning; Engagement strategies; Metrics tracking; Risk management; Culture documentation
8,Finance & ESG,91,Financial Literacy Professional,10,no,10,Budgeting fundamentals; Cash flow analysis; Debt management; Savings strategies; Investment basics; Risk awareness; Financial planning; Tool usage; Decision evaluation; Financial reporting
8,Finance & ESG,92,Budgeting & Forecasting Analyst,10,no,10,Budget modeling; Variance analysis; Forecast techniques; Scenario planning; Data validation; Stakeholder communication; Reporting systems; Automation tools; Risk assessment; Continuous refinement
8,Finance & ESG,93,Financial Risk Practitioner,10,no,10,Risk identification; Quantitative modeling; Stress testing; Scenario analysis; Mitigation planning; Compliance alignment; Reporting frameworks; Tool mastery; Decision support; Risk monitoring
8,Finance & ESG,94,Internal Controls Specialist,10,no,10,Control design; Risk mapping; Compliance testing; Process audits; Documentation standards; Control automation; Incident reporting; Stakeholder coordination; Improvement planning; Control monitoring
8,Finance & ESG,95,Compliance Operations Officer,10,no,10,Regulatory mapping; Compliance procedures; Monitoring systems; Incident handling; Reporting protocols; Staff training; Vendor compliance; Audit coordination; Documentation; Continuous review
8,Finance & ESG,96,ESG Reporting Analyst,10,no,10,ESG data collection; Metric standardization; Reporting frameworks; Stakeholder disclosure; Data validation; Risk assessment; Compliance mapping; Visualization design; Automation tools; ESG audits
8,Finance & ESG,97,Sustainability Strategy Manager,10,no,10,Sustainability assessment; Strategy development; KPI definition; Regulatory compliance; Stakeholder engagement; Risk evaluation; Reporting systems; Investment modeling; Program execution; Continuous improvement
8,Finance & ESG,98,Audit Readiness Specialist,10,no,10,Documentation control; Evidence preparation; Compliance mapping; Risk assessment; Process walkthroughs; Stakeholder coordination; Gap analysis; Corrective planning; Audit simulation; Reporting
8,Finance & ESG,99,Regulatory Compliance Professional,10,no,10,Regulation research; Policy drafting; Risk assessment; Compliance audits; Incident management; Training programs; Documentation standards; Reporting frameworks; Stakeholder liaison; Continuous monitoring
8,Finance & ESG,100,Ethical Governance Advisor,10,no,10,Governance framework design; Ethics policy development; Board advisory support; Risk oversight; Transparency systems; Compliance alignment; Conflict resolution; Reporting standards; Accountability mechanisms; Governance audits
9,Teaching & Education,137,Classroom Learning Designer,10,no,10,Learning outcome design; Lesson sequencing; Cognitive load management; Active learning strategies; Instructional alignment; Classroom flow planning; Learner diversity adaptation; Teaching resource design; Evaluation of lesson effectiveness; Turn on screen reader support
9,Teaching & Education,138,Curriculum Mapping Specialist,10,no,10,Curriculum standards analysis; Learning pathway design; Vertical alignment; Horizontal alignment; Competency mapping; Assessment alignment; Curriculum documentation; Stakeholder coordination; Digital curriculum tools; Curriculum quality assurance
9,Teaching & Education,139,Lesson Engineering Practitioner,10,no,10,Lesson structuring; Instructional modeling; Time optimization; Learning activity engineering; Classroom pacing; Engagement design; Feedback integration; Differentiation techniques; Learning evidence capture; Iterative redesign
9,Teaching & Education,140,Student Assessment Designer,10,no,10,Formative assessment design; Summative assessment design; Rubric construction; Validity &amp; reliability testing; Performance task design; Feedback systems; Competency measurement; Bias mitigation; Digital assessment tools; Data interpretation
9,Teaching & Education,141,Differentiated Instruction Practitioner,10,no,10,Learner profiling; Instruction adaptation; Multi-modal teaching strategies; Learning scaffolding; Individual learning plans; Mixed-ability classroom management; Assessment adaptation; Assistive technologies; Inclusive pedagogy; Progress monitoring
9,Teaching & Education,142,Inclusive Education Support Specialist,10,no,10,Special needs identification; Individual education plans; Accessibility design; Behavior support planning; Assistive technology use; Collaboration with specialists; Legal compliance awareness; Family engagement; Inclusive classroom strategies; Impact evaluation
9,Teaching & Education,143,Student Engagement Facilitator,10,no,10,Motivation theory application; Classroom climate design; Active participation strategies; Gamification methods; Inquiry-based learning; Student voice facilitation; Collaborative learning design; Engagement analytics; Intervention strategies; Engagement evaluation
9,Teaching & Education,144,Classroom Communication Specialist,10,no,10,Instructional clarity; Non-verbal communication; Active listening; Questioning techniques; Conflict de-escalation; Cross-cultural communication; Parent communication; Digital communication tools; Presentation skills; Feedback communication
